id,title,poet_id,content,year,genre
23,《登楼寄胡家兄弟》,6,游学于邢州，登楼有诗寄胡家兄弟,792,诗
24,《秋山》,6,游学于邢州，在秋山有诗,792,诗
25,《山中酬人》,6,游学于邢州，山中有诗酬人,792,诗
26,《襄国别友》,6,秋，学成入长安，临别有诗赠友,792,诗
27,《登城寄王建》,6,游蓟北，途经邢州，寄诗居鹤岭的王建,794,诗
28,《酬坊州王司马与阎正字对雪见赠》,8,冬游坊州，有诗酬答友人,730,诗
29,《留别王司马嵩》,8,冬游坊州，有诗酬答友人,730,诗
30,《唐咸宜公主碑》,9,在中部，五月后，有碑记,784,文
31,《三川观水涨二十韵》,10,七月，因禄山陷京师，自白水携家避寇三川，道遇淫雨涨水，路途艰难，有诗纪之,756,诗
32,《避地》,10,冬，在白水、鄜州间避难，有诗,756,诗
33,《晚行口号》,10,自凤翔归鄜州省亲，将至，晚行有感，作是诗,757,诗
34,《独酌成诗》,10,自凤翔往鄜州省亲，将至，有诗,757,诗
35,《羌村三首》,10,归家至羌村，有诗三首,757,诗
36,《北征》,10,九月，自凤翔归家，叙途中及到家之事，有诗,757,诗
37,《喜闻官军已临贼境二十韵》,10,九月，闻广平王俶率兵进逼敌寇有望收复长安，有诗,757,诗
38,《收京三首》,10,十月，时在鄜州家中，闻官军收复西京，有诗,757,诗
39,《献鄜坊丘常侍》,11,秋冬，许浑北游鄜州，献诗节度使丘直方,830,诗
40,鄜州留别王从事,12,疑频在官侍御史时去往鄜州公干，有诗,871,未知
41,春日鄜州赠裴居言,12,疑频在官侍御史时去往鄜州公干，有诗,871,未知
42,朔中即事,12,疑频在官侍御史时去往鄜州公干，有诗,871,未知
43,《丙辰鄜州遇寒食城外醉吟五首》,13,寒食客鄜州，冬客宜君，欲卜居不果。城外醉饮，有诗,896,诗
44,《鄜州留别张员外》,13,在鄜州留别张员外，有诗,896,诗
45,《鄜州李相公》,14,在长安应试下第，游鄜州，干谒李思孝,887,诗
46,奉和裴相公东征途经女几山下作,15,八月底，随军在郾城。裴度东征经过女几山时有诗，韩愈在郾城见后，奉和之,817,诗
47,祭河南张员外文,15,八月，随军东征平蔡，遥闻张署去世，痛作祭文,817,文
48,赠刑部马侍郎,15,七八月间，随军东征平蔡。马总与韩愈同随裴度出师参加平蔡，韩赠之以诗,817,诗
49,晚秋郾城夜会联句,15,九月，随军在郾城。与同僚李正封联句,817,诗
50,郾城晚饮奉赠副使马侍郎及冯李二员外,15,十月，在随军在郾城。晚聚饮，作诗奉赠同僚马总等人,817,诗
51,酬别留后侍郎,15,蔡州平定，随军班师，十一月二十三至二十八日，有诗赠彰义军节度留后马总,817,诗
52,《日没贺延碛作》,15,赴北庭途中，过贺延碛，有诗感怀。,754,诗
53,《碛西头送李判官入京》,15,赴北庭途中，过碛西头，李栖筠入京，有诗送行。,754,诗
54,《题苜蓿烽寄家人》,15,在北庭，有诗题苜蓿峰，寄家人。,755,诗
55,《代李敬业传檄天下文》,17,"秋,辗转至扬州,与徐敬业等共同谋划反武氏之政.九月,兵举,为军中记室.作《代李敬业传檄天下文》",684,文
56,《在军登城楼诗》,17,"参与徐敬业反武后之事,有《在军登城楼诗》",684,诗
57,伤王七秘书监寄呈扬州陆长史通简府僚广陵好事,18,贬赴越州途中，过广陵，伤旧友秘书少监王绍宗，有诗，寄扬州陆长史,709,诗
58,《扬子津望京口》,19,游扬州等地，有诗,726,诗
59,《宿扬子津寄润州长山刘隐士》,19,游扬州等地，有诗,726,诗
60,《登万岁楼》,19,游扬州等地，有诗,726,诗
61,《广陵别薛八》,19,游扬州等地，有诗,726,诗
62,《渡扬子江》,19,游扬州等地，有诗,726,诗
63,《问舟子》,19,游扬州等地，有诗,726,诗
64,别陶副使归南海,20,在江宁县丞任上.有润州(今江苏镇江)、广陵(今江苏扬州)以及太湖之游,747,诗
65,越  女,20,在江宁县丞任上.有润州(今江苏镇江)、广陵(今江苏扬州)以及太湖之游,747,诗
66,采莲曲二首,20,在江宁县丞任上.有润州(今江苏镇江)、广陵(今江苏扬州)以及太湖之游,747,诗
67,客广陵,20,在江宁县丞任上.有润州(今江苏镇江)、广陵(今江苏扬州)以及太湖之游,747,诗
68,别刘谞,20,在江宁县丞任上.秋，广陵与刘谞话旧。有诗赠刘谞,749,诗
69,《谢上淮南节度使表》,20,二月，至扬州，有谢表,757,文
70,《酬河南节度使贺兰大夫见赠之作》,20,有诗和贺兰进明,757,诗
71,《登广陵栖灵寺塔》,20,春，仍驻扬州，登栖灵寺塔，有诗,758,诗
72,《广陵别郑处士》,20,四月，离扬州，别友人，有诗,758,诗
73,《广陵赠别》,20,在扬州，有诗,726,诗
74,《别储邕之剡中》,20,由扬州往剡中，有诗别友人,726,诗
75,《秋日登扬州西灵塔》,20,秋，返扬州，游西灵塔，有诗,726,诗
76,《淮南卧病书怀寄蜀中赵征君蕤》,20,秋，在扬州卧病，思乡之情甚殷。有诗,726,诗
77,《秋夕旅怀》,20,在扬州，有诗,726,诗
78,《少年行》（君不见淮南少年游侠客）,20,游扬州，有诗,739,诗
79,《久别离》,20,在扬州，有诗,739,诗
80,《淮海对雪赠傅霭》,20,赴越，行经扬州，有诗赠友人,746,诗
81,《题瓜洲新河饯族叔舍人贲》,20,饯别族叔，有诗赞扬开元良吏齐浣善政,747,诗
82,《留别广陵诸公》,20,离扬州，有诗留别友人,747,诗
83,《叙旧赠江阳宰陆调》,20,到扬州江阳县访故人陆调，有诗,748,诗
84,《之广陵宿常二南郭幽居》,20,在广陵，有诗,754,诗
85,《送储邕之武昌》,20,有诗,754,诗
86,《哭晁卿衡》,20,日本遣唐使晁衡归国遇暴风，李白误以为晁衡遇难，作诗悼之,754,诗
87,《送当涂赵少府赴长芦》,20,在扬州，有诗送友人,755,诗
88,伐樱桃树赋,21,贬谪为广陵参军。寓居紫极宫道学馆，愤而作《伐樱桃树赋》,749,赋
89,为李中丞作与虢王书,21,十月，为李中丞代书,756,文
90,为李中丞贺赦书,21,秋冬之际，代李式上书,756,文
91,与崔中书园书,21,秋冬之际，有与崔园书,756,文
92,送蒋侍御入秦,22,在淮南幕。有诗赠同僚,766,诗
93,更被奏留淮南送从弟罢使江东,22,秋至扬州，再参淮南幕。有诗,770,诗
94,淮上送梁二恩命追赴上都,22,在扬州送梁肃入京，有诗,789,未知
95,寄卢庚,24,十月，游广陵，有寄天宝十五年（756）丙申科状元及第卢庚诗,769,诗
96,扬州偶会前洛阳卢耿主簿,24,在广陵，遇书法家前洛阳主簿卢耿,769,诗
97,广陵遇孟九云卿,24,在广陵，遇自南海幕还京的孟云卿,769,诗
98,广陵行,24,在广陵，有诗,769,诗
99,喜于广陵拜觐家兄奉送发还池州,24,在广陵，岁暮拜会家兄,769,诗
100,从事淮南府过亡友杨校书旧厅感念愀然遂书十韵,25,正月，李兼征为国子祭酒，府罢。时任观察支使，带宪职为监察御史里行。裴胄继任江西观察使，与淮南节度使杜佑辟书同日至京，遂应杜佑辟,791,诗
101,《扬州寻张籍不见》,25,出使淮南，闻张籍在扬州，既至，张籍已离去,804,诗
102,《夜看扬州市》,25,出使淮南，游览扬州,804,诗
103,《题江寺兼求药子》,25,出使淮南，游览扬州,804,诗
104,《淮南使回留别窦侍御》,25,出使淮南，事毕北归魏博前，留诗赠别曾任淮南杜佑幕节度参谋的窦常,805,未知
105,《汴路纪事》,25,出使淮南，返归途中，初离扬州，有诗纪事,805,诗
106,《新城甲仗楼》,25,归苏州途中，在扬州与友人宴游甲仗楼，有诗纪事,796,诗
107,《为淮南杜相公谢兵马使朱郑等官表》,26,在淮南节度使掌书记任，作表,800,文
108,《为淮南杜相公谢贷钱物表》,26,在淮南节度使掌书记任，作表,800,文
109,《为淮南杜相公谢赐手诏表》,26,在淮南节度使掌书记任，作表,800,文
110,《为淮南杜相公请赴行营表》,26,在淮南节度使掌书记任，作表,800,文
111,《为杜相公贺除虔王表》,26,在淮南节度使掌书记任，作表,800,文
112,《为杜相公贺复吴少诚官爵表》,26,在淮南节度使掌书记任，作表,800,文
113,《为淮南杜相公谢诏许濠泗两州割属淮南表》,26,在淮南节度使掌书记任，作表,800,文
114,《为淮南杜相公谢赐历日面脂口脂表》,26,在淮南节度使掌书记任。冬，作表,800,文
115,《柳絮》,26,在淮南节度使掌书记任，作诗,801,诗
116,《为杜相公慰王太尉薨表》,26,在淮南节度使掌书记任，作表,801,文
117,《为淮南杜相公论西戎表》,26,在淮南节度使掌书记任，作表,801,文
118,《代杜司徒乞朝觐表》,26,在淮南节度使掌书记任，作表,801,文
119,《扬州春夜李端公益张侍御登段侍御平路（一作仲）密县李少府畼秘书张正字复元同会于水馆对酒联句追刻烛击铜钵故事迟辄举觥以饮之逮夜艾群公沾醉纷然就枕余偶独醒因题诗于段君枕上以志其事》（一作《扬州春夜同会水馆夜艾独醒》）,26,在淮南节度使掌书记任，与友会饮，作诗,801,诗
120,《为杜司徒慰义阳公主薨表》,26,在淮南节度使掌书记任，作表,801,文
121,《代杜司徒谢男授官表》,26,在淮南节度使掌书记任，作表,801,文
122,《为淮南杜相公谢赐春衣表》,26,在淮南节度使掌书记任，作表,801,文
123,《为淮南杜相公谢赐冬衣表》,26,在淮南节度使掌书记任，作表,801,文
124,《谢赐广利方表》,26,在淮南节度使掌书记任，作表,801,文
125,《谢端午赐衣及器物等第一表》,26,在淮南节度使掌书记任，作表,801,文
126,《谢端午赐衣及器物等第二表》,26,在淮南节度使掌书记任，作表,801,文
127,《为淮南杜相公谢赐钟馗历日表》,26,在淮南节度使掌书记任，作表,801,文
128,《为杜相公谢赐门戟表》,26,在淮南节度使掌书记任，作表,801,文
129,《为淮南杜相公谢赐墨诏第一表》,26,在淮南节度使掌书记任，作表,801,文
130,《为淮南杜相公谢赐墨诏第二表》,26,在淮南节度使掌书记任，作表,801,文
131,《为淮南杜相公论废楚州营田表》,26,在淮南节度使掌书记任，作表,801,文
132,《代淮南杜司徒奏新罗请广利方状》,26,在淮南节度使掌书记任，作状,801,文
133,《晚步扬子游南塘望沙尾》,26,在淮南节度使掌书记任，闲游作诗,801,诗
134,《谢寺双桧》,26,在淮南节度使掌书记任，作诗,801,诗
135,《酬乐天扬州初逢席上见赠》,26,与白居易在扬州相会，席上作诗酬和,826,诗
136,《同乐天登栖灵寺塔》,26,与白居易登栖灵寺塔，同题作诗,826,诗
137,《酬淮南牛相公述旧见贻》,26,赴汝州途中，经扬州，有诗酬牛僧孺,834,诗
138,《罢郡姑苏北归渡扬子津》,26,赴汝州途中，渡扬子江，感怀作诗,834,诗
139,《早渡扬子江》,27,早渡扬子江，作诗，姑系于此,833,诗
140,《宿扬州》,27,宿扬州，作诗，姑系于此,833,诗
141,《州中小饮便别牛相》,27,赴任洛阳，途经扬州，访牛僧孺，有诗,835,诗
142,《却到浙西》,27,赴任洛阳途中，至浙西，有诗，姑系于此,835,诗
143,《鉴玄影堂》,27,赴任洛阳途中，有诗，姑系于此,835,诗
144,《毗陵东山》,27,赴任洛阳途中，毗陵东山，有诗，姑系于此,835,诗
145,《建元寺》,27,赴任洛阳途中，有诗，姑系于此,835,诗
146,《宿瓜州》,27,赴任洛阳途中，宿瓜州，有诗,835,诗
147,《入扬州郭》,27,赴任洛阳途中，入扬州，有诗,835,诗
148,《宿扬州水馆》,27,赴任洛阳途中，宿扬州水馆，有诗,835,诗
149,《地志图序》,28,在扬州，有文,789,文
150,《汉舆地图序》,28,在扬州，有文,789,文
151,《广陵陈先生墓表》,28,八月，从广陵赴京师长安，经广陵郡六合县棠邑乡，为处士陈融作墓表,789,文
152,扬州春词,30,"春,离越北上,至扬州,有《扬州春词》。",836,未知
153,《唐谏议大夫温府君碑》,31,本年春，牛僧孺抵达淮南。杜牧奉宣歙观察使沈传师之命，赴扬州拜访牛僧孺。四月，牛僧孺辟杜牧为淮南节度府掌书记。本年秋，李绅由洛阳赴浙东观察使任，途中与牛僧孺会于扬州。本年前后，牛僧孺为温造父温辅国撰神道碑,833,文
154,《席上赠刘梦得》,31,本年，杜牧仍在牛僧孺淮南节度使任幕僚，杜牧生活放浪，牛僧孺对其备极关怀。本年秋，刘禹锡由苏州刺史移汝州刺史，途经扬州，与牛僧孺会面，有诗唱和。,834,诗
155,《怀山居邀松阳子同作》,32,"李德裕在淮南，辟杜牧之弟杜顗为观察支使,杜顗目疾益重，秋末，杜牧携弟赴宣州。九月，裴潾刻寄奉李德裕诗十四首于石，列于洛阳平泉山居。冬，与松阳子唱和",837,诗
156,《思归赤松村呈松阳子》,32,李德裕在淮南，冬，与松阳子唱和，松阳子其人待考，似为道人,837,诗
157,《近腊对雪有怀林居》,32,李德裕在淮南，冬，见雪有感,837,诗
158,《余所居平泉村舍近蒙韦常侍大尹特改嘉名因寄诗以谢》,32,李德裕在淮南节度使任，日本僧人圆仁等到扬州，谒见李德裕。有诗寄韦长,838,诗
159,《金松赋并序》,32,李德裕在淮南节度使任。春，游孔融故台，得奇木，植于庭，作赋咏之。四月，加检校尚书左仆射。秋，赵嘏有诗献李德裕,839,文
160,《比闻龙门敬善寺有红桂树独秀伊川尝于江南诸山访之莫致陈侍御知予所好因访剡溪樵客偶得数株移植郊园众芳色沮乃知敬善所有是蜀道菵草徒得嘉名因赋是诗兼赠陈侍御》,32,李德裕在淮南节度使任。咏红桂树（菵草）,839,诗
161,《怀伊川郊居》,32,李德裕在淮南节度使任，怀念伊川，作诗咏之,839,诗
162,《春暮思平泉杂咏二十首》,32,正月，文宗卒，武宗即位。七月前，李德裕仍在淮南节度使任。春，忆洛阳平泉山庄，作组诗咏之,840,诗
163,《思山居十首》,32,七月前，李德裕仍在淮南节度使任。春，思洛阳平泉山居，作组诗咏之,840,诗
164,《金松赋》,32,在扬州，春，作赋咏金松,840,文
165,《初夏有怀山居》,32,七月前，李德裕仍在淮南节度使任。初夏，思洛阳平泉山居，作诗咏之,840,诗
166,《张公超谷中石》,32,七月前，李德裕仍在淮南节度使任，作诗咏石,840,诗
167,《首夏清景想望山居》,32,七月前，李德裕仍在淮南节度使任，夏，忆洛阳平泉山居，作诗咏之,840,诗
168,《思平泉树石杂咏一十首》,32,七月前，李德裕仍在淮南节度使任，忆洛阳平泉山居树石，作诗咏之,840,诗
169,《思在山居日偶成此咏邀松阳子同作》,32,七月前，李德裕仍在淮南节度使任，忆洛阳平泉山居，作诗，与松阳子唱和,840,诗
170,《重忆山居六首》,32,七月前，李德裕仍在淮南节度使任，思洛阳平泉山居，作诗咏之,840,诗
171,《怀伊川郊居》,32,七月前，李德裕仍在淮南节度使任，思洛阳平泉山居，作诗咏之,840,诗
172,《晨起见雪忆山居》,32,七月前，李德裕仍在淮南节度使任，初春，晨起见雪思洛阳平泉山居，作诗咏之,840,诗
173,《忆平泉杂咏十首》,32,七月前，李德裕仍在淮南节度使任，思洛阳平泉山居，作诗咏之,840,诗
174,《山信至说平泉别墅草木滋长地转幽深怅然思归复此作》,32,七月前，李德裕仍在淮南节度使任，思洛阳平泉山居，作诗咏之,840,诗
175,《临海太守惠予赤城石报以是诗》,32,七月前，李德裕仍在淮南节度使任，临海太守赠李德裕石，作诗答谢,840,诗
176,《重过列子庙追感顷年自淮服与居守王仆射同题名于庙壁仆射已为御史余尚布衣自后俱列紫垣继游内置两为夏官之代复联左揆之荣荷宠多同感涕何极因书四韵奉寄》,32,七月，李德裕被召入朝，赴京途中，往洛阳，过列子庙忆王起，作诗寄之,840,诗
177,《和淮南王相公与宾僚同游瓜洲别业题旧书斋》,33,下第后，许浑自长安返润州，从淮南节度使王播游，有诗相和,822,诗
178,《广陵送剡县薛明府赴任》,33,在扬州。许浑送剡县薛明府赴任，作诗一首，姑系于此,822,诗
179,《广陵道中》,33,在广陵道中，写诗一首，姑系于此,822,诗
180,《瓜洲留别李诩》,33,在瓜洲作诗与李诩别,822,诗
181,《感旧陈情五十韵》,34,春末抵达扬州，向淮南节度使李绅呈献《感旧陈情五十韵》,841,诗
182,《送淮阴县令之官》,34,因欲入淮南幕，故在扬州羁留时间较长。春夏间作《送淮阴县令之官》,841,诗
183,《晋朝柏树》,34,秋在扬州作《晋朝柏树》,841,诗
184,《经故秘书崔监扬州南塘旧居》,34,秋在扬州作《经故秘书崔监扬州南塘旧居》,841,诗
185,《溪上行》,34,秋令，庭筠开始渡江归吴中旧乡。渡江后，有《溪上行》，姑系于此,841,诗
186,《战论》,36,在扬州，杜牧作文一篇论兵法,833,文
187,《守论》,36,在扬州，杜牧作文一篇论兵法,833,文
188,《淮南监军使院厅壁记》,36,在扬州，在淮南幕中。杜牧作文一篇,834,文
189,《罪言》,36,在扬州，淮南幕中。杜牧愤河北三镇之桀骜，而朝廷专事姑息，乃作文陈述削平河北三镇之策略,834,文
190,《原十六卫》,36,在扬州，淮南幕中。杜牧作文一篇论兵,834,文
191,《送杜顗赴润州幕》,36,在扬州，淮南幕中。十一月，李德裕为镇海节度使，辟杜牧弟杜顗为巡官，杜牧有诗送之,834,诗
192,《扬州三首》,36,在扬州，淮南幕中。杜牧有诗三首记扬州生活,834,诗
193,《牧陪昭应卢郎中在江西、宣州佐今吏部沈公幕，罢府周岁，公宰昭应，牧在淮南，縻职叙旧，成二十韵，用以投寄》,36,在淮南幕中。杜牧有诗一首,834,诗
194,《上知己文章启》,36,在扬州，淮南幕中。杜牧作文呈沈传师,834,文
195,《隋苑》,36,春，杜牧过隋苑，作诗怀古,834,诗
196,《赠别二首》,36,将离扬州，杜牧作诗与妓女赠别,835,诗
197,《遣怀》,36,杜牧将离扬州淮南节度使幕入京，作诗一首,835,诗
198,《题扬州禅智寺》,36,在扬州。杜牧居禅智寺，有诗一首,837,诗
199,《洛中监察病假满送韦楚老拾遗归朝》,36,假满百日，杜牧送韦楚老归朝,837,诗
200,《投知己书》,36,杜牧作文一篇送友人崔郸,837,文
201,《将赴宣州留题扬州禅智寺》,36,杜牧假满百日，依例去官。将离扬州，有诗题禅智寺,837,诗
202,隋宫（乘兴南游不戒严）,38,任盐铁推官，游江东，过隋炀帝杨广为游乐而修建的江都宫等，有诗,857,诗
203,隋宫（紫泉宫殿锁烟霞）,38,任盐铁推官，游江东，过隋炀帝杨广为游乐而修建的江都宫等，有诗,857,诗
204,风雨,38,任盐铁推官，游江东，过隋炀帝杨广为游乐而修建的江都宫等，有诗,857,诗
205,《题淮南惠照寺律师院》,39,游扬州，题诗,869,诗
206,《淮上逢故人》,39,秋渡淮南，有诗,892,诗
207,献淮南崔相公,40,秋，游扬州，献诗崔铉,855,诗
208,广陵秋夜读进士常修三篇因题,40,秋，至扬州，遇陈黯，归还文卷，激其再举，相欢月馀而别。陈黯请罗隐代为感谢卢浔，并告知东归决心，永不再举；或拜谒镇扬州的令狐绹,864,诗
209,迷楼赋,40,秋，在扬州作赋,864,赋
210,寄乔逸人,40,秋，赴扬州，途中寄乔逸人,873,诗
211,和淮南李司空同转运员外《送韦士赴》,40,在淮南节度使李蔚幕,873,未知
212,广陵李仆射借示近诗因投献,40,在淮南节度使李蔚幕,873,未知
213,广陵秋日酬进士臧濆见寄,40,在淮南幕，有诗寄臧濆,873,未知
214,淮南送司勋李侍郎赴阙,40,在淮南幕，有诗送李辉,873,诗
215,贺淮南节度卢员外赐绯,40,在淮南幕，有诗贺卢澄,873,诗
216,薛阳陶觱篥歌,40,九月，在李蔚幕作《薛阳陶觱篥歌》,873,诗
217,淮南送工部卢员外赴阙,40,九月，有诗送卢员外,873,诗
218,淮南送节度卢端公将命之汴州,40,九月，在李蔚幕作《薛阳陶觱篥歌》,873,诗
219,送卢端公归台卢校书之夏县,40,在淮南幕，有送卢澄诗,873,诗
220,淮南送卢端公归台,40,在淮南幕，有送卢澄诗,873,诗
221,荀令生日,40,春，在淮南李蔚幕有诗贺李蔚生日,874,诗
222,春日独游禅智寺,40,春游禅智寺,874,诗
223,送淮南李司空朝觐,40,送李蔚自淮南归朝任吏部尚书,874,诗
224,甘露寺火后,40,与僧处默同游润州妙善街、甘露寺、平泉碑，登北固山,874,诗
225,江都,40,春，与顾云游扬州；夏，与顾云同谒淮南节度使高骈，云被辟留，隐归钱塘；再至扬州高骈幕，作诗讽刺其造迎仙楼；秋在池州，作诗表达忧君忧国拥护统一的赤子情怀,881,诗
226,送光禄崔卿赴阙,40,在扬州送光禄卿崔某，有诗,881,诗
227,谢江都郑长官启,40,作启谢江都县令郑某,881,文
228,淮南高骈所造迎仙楼,40,返扬州作诗讽刺高骈,881,诗
229,后土庙,40,返扬州作诗讽刺高骈,881,诗
230,鹰,40,返扬州作诗讽刺高骈,881,诗
231,八骏图,40,返扬州作诗讽刺高骈,881,诗
232,题延和阁,40,在扬州作诗讽刺高骈,881,诗
233,广陵春日忆池阳有寄,40,在扬州，有诗寄池州友人,883,诗
234,汴河铭,41,携《文薮》游淮南扬州干谒令狐绹，并于令狐滈有酬唱,866,文
235,吊江都赋,41,入淮南令狐绹幕,868,文
236,扬州看辛夷花,41,皮日休在扬州，宿木兰院,870,诗
237,宿木兰院,41,皮日休在扬州，宿木兰院,870,诗
238,腊后送内大德从勖游天台,41,皮日休在扬州，宿木兰院,870,诗
239,奉和,41,正月，陆龟蒙有《早春雪中作吴体寄袭美》，皮日休有《奉和》,871,诗
240,谏议罢郡将归，以六韵赐示，因伫酬献,41,崔璞罢郡，有文会，皮日休、陆龟蒙等作诗相送,871,诗
241,吴中书事，寄汉南裴尚书,41,崔幕解散，皮日休欲谋求新路而致书各方故知，有诗劄寄裴坦者,871,诗
242,吴中言怀寄南海二同年,41,崔幕解散，皮日休欲谋求新路而致书各方故知，有寄南海二同年者,871,诗
243,江南书情二十韵寄秘阁韦校书贻之、商洛宋先辈垂文二同年,41,崔幕解散，皮日休欲谋求新路而致书各方故知，作诗寄秘阁韦校书贻之、商洛宋垂文先辈,871,诗
244,鲁望以花翁之什见招，因次韵酬之,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,诗
245,寄题罗浮轩辕先生所居,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,诗
246,松陵集序,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,文
247,座右铭,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,文
248,杂体诗序,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,文
249,襄州孔子庙学记唐社稷坛记,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,文
250,江南书情二十韵,41,皮陆唱和，皮日休有《寄题罗浮轩辕先生所居》，陆龟蒙和之。本年夏秋，皮日休临别吴中之际，陆龟蒙将两年左右唱和诗集集合成编，为《松陵集》十卷，以为纪念。皮日休为作《松陵集序》，阐述其诗歌见解，叙其与陆龟蒙之唱和大致经历，序中有论当代诗人李商隐、温庭筠者，颇有说。集中多次韵长篇，又有离合、叠韵、回文、双声及县名、药名等类诗作，陆龟蒙将其归入杂体诗卷，皮日休撰《杂体诗序》，记述诸类诗之缘起。,871,诗
